,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Salary_In_Usd,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
179,2021,Machine Learning Engineer,EN,FT,"6,445,130.00","77,341.56",US,US,S,50
180,2021,Data Scientist,MI,FT,"451,875.00","5,422.50",IN,US,S,100
181,2021,Big Data Engineer,MI,FT,"1,799,146.00","21,589.75",IN,IN,L,0
182,2021,Data Scientist,MI,FT,"7,219,659.00","86,635.91",DE,DE,L,50
183,2021,Data Engineer,MI,FT,"2,069,205.00","24,830.46",RO,US,L,0
184,2021,Finance Data Analyst,SE,FT,"4,925,034.00","59,100.41",GB,GB,L,50
185,2021,Machine Learning Scientist,MI,FL,"954,834.00","11,458.01",PK,PK,M,50
186,2021,Data Engineer,MI,FT,"318,278.00","3,819.34",IR,IR,M,100
187,2021,Data Analytics Engineer,SE,FT,"3,978,475.00","47,741.70",VN,GB,M,100
188,2021,Data Science Consultant,EX,FT,"5,549,256.00","66,591.07",FR,ES,S,100
189,2021,Data Engineer,SE,FT,"6,113,563.00","73,362.76",RO,GB,S,50
190,2021,Machine Learning Engineer,MI,FT,"5,888,143.00","70,657.72",JP,JP,S,50
191,2021,Data Science Manager,SE,FT,"12,094,564.00","145,134.77",US,FR,L,100
192,2021,Machine Learning Engineer,EN,FT,"1,738,116.00","20,857.39",CO,CO,M,50
193,2021,Big Data Engineer,MI,FT,"1,432,251.00","17,187.01",MD,MD,S,0
194,2021,Data Science Manager,SE,FT,"13,845,093.00","166,141.12",US,US,L,100
195,2021,Research Scientist,SE,FT,"7,647,663.00","91,771.96",CA,CA,L,50
196,2021,Data Scientist,MI,FT,"11,696,717.00","140,360.60",US,US,L,50
197,2021,BI Data Analyst,EN,FT,"737,768.00","8,853.22",KE,KE,S,100
198,2021,Machine Learning Engineer,SE,FT,"1,936,881.00","23,242.57",IN,IN,L,100
199,2021,Data Science Manager,SE,FT,"4,304,233.00","51,650.80",IN,US,L,50
200,2021,Data Science Consultant,EN,FT,"7,161,255.00","85,935.06",US,US,S,100
201,2021,Data Scientist,MI,FT,"4,890,898.00","58,690.78",DE,AT,M,50
202,2021,Machine Learning Infrastructure Engineer,SE,FT,"15,516,053.00","186,192.64",US,US,M,100
203,2021,Data Scientist,MI,FT,"3,009,716.00","36,116.59",ES,ES,L,100
204,2021,Research Scientist,SE,FT,"3,978,475.00","47,741.70",FR,US,S,100
205,2021,Data Scientist,MI,FT,"12,731,120.00","152,773.44",US,US,L,100
206,2021,Data Scientist,MI,FT,"1,026,526.00","12,318.31",BR,BR,S,0
207,2021,Machine Learning Engineer,SE,FT,"15,913,900.00","190,966.80",US,US,L,100
208,2021,Data Engineer,SE,FT,"13,128,968.00","157,547.62",US,US,M,0
209,2021,Data Engineer,MI,FL,"1,591,390.00","19,096.68",IT,US,L,0
210,2021,Data Analytics Manager,SE,FT,"9,548,340.00","114,580.08",US,US,L,0
211,2021,Machine Learning Engineer,MI,FT,"1,975,154.00","23,701.85",SI,SI,L,50
212,2021,Research Scientist,MI,FT,"4,514,614.00","54,175.37",FR,FR,S,50
213,2021,Data Engineer,MI,FT,"5,253,338.00","63,040.06",HK,GB,S,50
214,2021,Big Data Engineer,EN,FT,"468,028.00","5,616.34",IN,CH,L,0
